teamId,teamName,teamNick,teamShort,teamPrimaryColor,teamSecondaryColor,teamThirdColor,teamFoundDate,teamStatus,teamExternalId,teamLogoUrl,competitionName,competitionId,sponsorName,sponsorId,phaseName,phaseId,groupName,groupId,seasonName,seasonId
8c035c24-5703-4628-9f71-e0b6280196db,HC Domynos,Domynos,DOM,,,,,Active,DOM,https://drive.google.com/uc?export=view&id=1GJ2HFPIi-3zMTaqdC_q1tk0xIGHEUZ1s,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Undefined,c33154e3-35f6-4114-86d0-8769b44c443b,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Top Divize,b7b4f7e3-9e44-42c0-bdf8-71cfd5592373,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548
4e1472c1-d903-450a-927f-4d170ec92913,HC Lenovo,Lenovo,LNV,,,,,Active,LNV,https://drive.google.com/uc?export=view&id=1wrbHCILoJMy4zW6tpd4JHbXoAqtsFbsY,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,GNB Chem,69a695eb-ec6c-4ac5-b224-c9fc48ec86c9,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Hobby Divize,b172426f-aa89-4d0a-a17a-5861a97311ac,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548
53c0bf88-0c9c-424a-8a5d-5640988bff14,Fanklub Lev Praha,Fanklub Lev,LEV,,,,15.1.2013,Active,LEV,https://drive.google.com/uc?export=view&id=11QykfjopaZ4orJpR8MQMiKPTNiQ2zzuw,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Undefined,c33154e3-35f6-4114-86d0-8769b44c443b,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Klasická Divize,8197ca60-361d-4515-8208-e51d50aab9fc,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548
a83bbf90-eab3-43ee-aa89-3feb82e3bfc3,HC Prague Mimons,Mimoni,MIM,,,,,Active,MIM,https://drive.google.com/uc?export=view&id=10wJx9uVs90hp_3I0WGW8rITmJ-l2cinn,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Undefined,c33154e3-35f6-4114-86d0-8769b44c443b,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Klasická Divize,8197ca60-361d-4515-8208-e51d50aab9fc,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548
95750ea5-cf54-40a4-bef4-409e7c53ef14,Hokejové Tréninky Praha,Tréninky,HTP,,,,,Active,HTP,https://drive.google.com/uc?export=view&id=1ujKCy_Bea60CbD0GZjcJ4pdwH61dFFJR,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Undefined,c33154e3-35f6-4114-86d0-8769b44c443b,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Top Divize,b7b4f7e3-9e44-42c0-bdf8-71cfd5592373,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548
e9141c28-782e-4a48-b606-3a9537262fa6,HC Banditos,Banditos,BDT,,,,,Active,BDT,https://drive.google.com/uc?export=view&id=1tSZGnGqf2Kku8YharPx3L5ovxLQo8YhI,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Undefined,c33154e3-35f6-4114-86d0-8769b44c443b,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Hobby Divize,b172426f-aa89-4d0a-a17a-5861a97311ac,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548
d8728e00-3203-46d7-a3dd-5e85d674e599,Team Canada,Canada,CAN,,,,,Active,CAN,https://drive.google.com/uc?export=view&id=12v3ctGisgOw0JUn8wQ70WhaE9Z7pBDXG,Undefined,b1325f2d-3d0b-4f63-b5ec-b72714d4137e,Undefined,c33154e3-35f6-4114-86d0-8769b44c443b,Undefined,48259c04-72e0-4088-8fbf-e10baf0a378d,Undefined,f0ab8eb3-e99d-4b96-ab52-176d18660529,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548
1231f6ae-b1d5-49e5-9d8c-4bbfb884b011,Carps Moscow,Caprs,CAR,,,,,Active,CAR,https://drive.google.com/uc?export=view&id=1gXuY1kpyheH110O72UUHSEHmPjKUYk5Q,Undefined,b1325f2d-3d0b-4f63-b5ec-b72714d4137e,Undefined,c33154e3-35f6-4114-86d0-8769b44c443b,Undefined,48259c04-72e0-4088-8fbf-e10baf0a378d,Undefined,f0ab8eb3-e99d-4b96-ab52-176d18660529,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548
8f82fda5-2f8d-4e98-855f-0c7b3345fceb,Atos Ledeč,Atos,ATO,,,,,Active,ATO,https://drive.google.com/uc?export=view&id=10JBNtQ_MxcHdeedWXboN3enrg_6hy5T9,WND Cup Ledeč nad Sázavou,fb18fbb5-2a6f-4328-8ef0-dfc2f4e08ad4,Undefined,c33154e3-35f6-4114-86d0-8769b44c443b,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Skupina A,ceb3d5d8-c901-453c-bf46-535b83c9e831,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548
e4aa0c68-3262-46a8-8844-a9754c008c57,Drink Team,Drink Team,DRT,,,,,Active,DRT,https://drive.google.com/uc?export=view&id=1_13KMTN_AVjpekn5uEZWrfC2bFe7AU9P,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Undefined,c33154e3-35f6-4114-86d0-8769b44c443b,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Klasická Divize,8197ca60-361d-4515-8208-e51d50aab9fc,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548
