phaseId,phaseName,phaseNick,phaseShort,phaseStartDate,phaseEndDate,phaseStatus,rulePackName,rulePackId,competitionName,competitionId,sponsorName,sponsorId,seasonName,seasonId,venueName,venueId
d41492f3-5c3f-4dae-ad1e-b081883972a2,Skupinová fáze,Skupiny,Skupiny,15.11.2016,20.2.2017,Finished,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
077300f5-a668-4d59-aa4b-6088bacb48dc,Play Off,Play Off,Playoff,25.2.2017,20.3.2017,Finished,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
55167910-0362-44fd-9294-ca2ed5e9bb09,Kvalifikační fáze,Kvalifikace,Kvalifikace,1.9.2017,20.12.2017,Finished,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,GNB Chem,69a695eb-ec6c-4ac5-b224-c9fc48ec86c9,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
5675122c-4cac-49fc-a0c9-ac9edc8775f8,Skupinová fáze,Skupiny,Skupiny,1.1.2018,15.3.2018,Finished,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,GNB Chem,69a695eb-ec6c-4ac5-b224-c9fc48ec86c9,2017-2018,4257a93f-0b15-495c-984d-8a6e842ea063,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
e042ba63-1bdf-4821-a06d-fe05b3ddcc6f,Play Off,Play Off,Playoff,16.3.2018,1.5.2018,Finished,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,GNB Chem,69a695eb-ec6c-4ac5-b224-c9fc48ec86c9,2017-2018,4257a93f-0b15-495c-984d-8a6e842ea063,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
1cfcd88e-dd1e-4da8-81e0-9813a400822e,O umístění,O Umístění,Baráž,16.3.2018,1.5.2018,Finished,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,GNB Chem,69a695eb-ec6c-4ac5-b224-c9fc48ec86c9,2017-2018,4257a93f-0b15-495c-984d-8a6e842ea063,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
b394fe07-26c8-40f8-9344-35d83bd97757,Kvalifikační fáze,Kvalifikace,Kvalifikace,1.9.2018,20.12.2018,Finished,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,GNB Chem,69a695eb-ec6c-4ac5-b224-c9fc48ec86c9,2018-2019,7804ca66-34b1-4095-8034-5cb06a5131e1,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
951af8d0-54ec-4b40-baa1-c4a544bb9a54,Skupinová fáze,Skupiny,Skupiny,1.1.2019,15.3.2019,Finished,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,GNB Chem,69a695eb-ec6c-4ac5-b224-c9fc48ec86c9,2018-2019,7804ca66-34b1-4095-8034-5cb06a5131e1,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
9d8e2a11-0091-4ca5-bcc4-09fc2a6627fd,Play Off,Play Off,Playoff,16.3.2019,1.5.2019,Finished,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,GNB Chem,69a695eb-ec6c-4ac5-b224-c9fc48ec86c9,2018-2019,7804ca66-34b1-4095-8034-5cb06a5131e1,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
7431e31d-472a-49c8-ab6e-391dd7ba4f3a,O umístění,O Umístění,Baráž,16.3.2019,1.5.2019,Finished,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,GNB Chem,69a695eb-ec6c-4ac5-b224-c9fc48ec86c9,2018-2019,7804ca66-34b1-4095-8034-5cb06a5131e1,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
9933480b-989b-4253-8127-137a9174d8d3,Základní část,Základní část,ZČ,1.9.2019,15.5.2020,Finished,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Bauer Hockey Czech,18d7a954-153e-442b-a90a-45128ca6251c,2019-2020,dc6adc99-0bd8-4223-ba3f-b27ff43b30ac,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
eefe9019-a9e5-4f50-be72-64a8e40d898a,Play Off,Play Off,Playoff,16.5.2020,2.8.2020,Finished,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Bauer Hockey Czech,18d7a954-153e-442b-a90a-45128ca6251c,2019-2020,dc6adc99-0bd8-4223-ba3f-b27ff43b30ac,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
6a814740-c17d-4add-9810-a6c8bf25a6d7,O umístění,O Umístění,Baráž,16.5.2020,2.8.2020,Cancelled,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Bauer Hockey Czech,18d7a954-153e-442b-a90a-45128ca6251c,2019-2020,dc6adc99-0bd8-4223-ba3f-b27ff43b30ac,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
029b2901-0289-439a-96f3-bf6de9adbea0,Základní část,Základní část,ZČ,1.9.2020,20.3.2021,Active,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Bauer Hockey Czech,18d7a954-153e-442b-a90a-45128ca6251c,2020-2021,4d4d51cc-02fe-45c6-ad8a-9e2b7aadfb5f,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
0e1b8297-e9d9-41f8-b6e9-11b6b91338bd,Play Off,Play Off,Playoff,21.3.2021,6.5.2021,Waiting,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Bauer Hockey Czech,18d7a954-153e-442b-a90a-45128ca6251c,2020-2021,4d4d51cc-02fe-45c6-ad8a-9e2b7aadfb5f,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
a3eed006-5ff0-40ff-94fe-d3f61c99d718,O umístění,O Umístění,Baráž,21.3.2021,6.5.2021,Waiting,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Bauer Hockey Czech,18d7a954-153e-442b-a90a-45128ca6251c,2020-2021,4d4d51cc-02fe-45c6-ad8a-9e2b7aadfb5f,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
8d94d5c3-9d0d-41fa-9e78-e34159eeabad,Skupinová fáze,Skupiny,Skupiny,20.4.2017,20.4.2017,Finished,,,WND Cup Ledeč nad Sázavou,fb18fbb5-2a6f-4328-8ef0-dfc2f4e08ad4,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
135070d3-1d0d-40ca-8d5f-02cc71b43408,Play Off,Play Off,Playoff,21.4.2017,21.4.2017,Finished,,,WND Cup Ledeč nad Sázavou,fb18fbb5-2a6f-4328-8ef0-dfc2f4e08ad4,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
cafec7ec-4513-4ba0-9d03-bfd83ec0349e,Skupinová fáze,Skupiny,Skupiny,14.9.2017,14.9.2017,Finished,,,WND Cup Ledeč nad Sázavou,fb18fbb5-2a6f-4328-8ef0-dfc2f4e08ad4,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2017-2018,4257a93f-0b15-495c-984d-8a6e842ea063,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
815166af-2086-418c-8410-4ccbe5b8c4c8,Play Off,Play Off,Playoff,15.9.2017,15.9.2017,Finished,,,WND Cup Ledeč nad Sázavou,fb18fbb5-2a6f-4328-8ef0-dfc2f4e08ad4,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2017-2018,4257a93f-0b15-495c-984d-8a6e842ea063,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
cda0d231-f9d6-4c08-aa68-259263cd2cf0,Skupinová fáze,Skupiny,Skupiny,14.9.2018,14.9.2018,Finished,,,Memorial Tomáše Smutka,b4348584-a378-48b7-afdc-feca879c3371,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2018-2019,7804ca66-34b1-4095-8034-5cb06a5131e1,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
