venueId,venueName,venueNick,venueShort,venueManagerId,venueManagerName,venueManagerInternalId,venueFoundDate,venueLocation,venueAddress,venueWeb,venueDescription,venueMedia,venueCapacity,competitionName,competitionId,sponsorName,sponsorId
fe2d5ef7-fa32-4798-93da-bfffee2fc585,Škoda Icerink,Icerink,ICR,,,,15.1.2018,Active,"Přetlucká 3422/23, Praha 10 Strašnice",www.icerink.cz,"Nejmodernější pražský zimní stadión, 2 hokejové plochy, 12 šaten, Bistro, Broušení bruslí",,200,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e
fe2d5ef7-fa32-4798-93da-bfffee2fc585,Škoda Icerink,Icerink,ICR,,,,15.1.2018,Active,"Přetlucká 3422/23, Praha 10 Strašnice",www.icerink.cz,"Nejmodernější pražský zimní stadión, 2 hokejové plochy, 12 šaten, Bistro, Broušení bruslí",,200,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,,
fe2d5ef7-fa32-4798-93da-bfffee2fc585,Škoda Icerink,Icerink,ICR,,,,15.1.2018,Active,"Přetlucká 3422/23, Praha 10 Strašnice",www.icerink.cz,"Nejmodernější pražský zimní stadión, 2 hokejové plochy, 12 šaten, Bistro, Broušení bruslí",,200,CCM Liga,ce84bfe3-41fd-46de-aad4-409b769b0b2a,,
4eb0a22c-8f16-4107-82f5-b781c17b3fa1,Zimní stadion Nikolajka,Nikolajka,NIK,,,,1.1.1969,Active,"U Nikolajky 28, 150 00, Praha 5",http://www.nikolajka.eu/,"Legendární klasický hokejový stadion, jedna plocha, broušení bruslí",,500,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,,
4eb0a22c-8f16-4107-82f5-b781c17b3fa1,Zimní stadion Nikolajka,Nikolajka,NIK,,,,1.1.1969,Active,"U Nikolajky 28, 150 00, Praha 5",http://www.nikolajka.eu/,"Legendární klasický hokejový stadion, jedna plocha, broušení bruslí",,500,CCM Liga,ce84bfe3-41fd-46de-aad4-409b769b0b2a,,
ab6877d9-2b7d-4931-b725-66058081fdff,Tipsport Arena,Velká Hala,TIP,,,,1.1.1962,Active,"Za elektrárnou 419/1, 170 00 Praha-Bubeneč",,"Legendární hokejový stánek, Dějiště Mistrovství světa v ledním hokeji",,15000,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,,
ab6877d9-2b7d-4931-b725-66058081fdff,Tipsport Arena,Velká Hala,TIP,,,,1.1.1962,Active,"Za elektrárnou 419/1, 170 00 Praha-Bubeneč",,"Legendární hokejový stánek, Dějiště Mistrovství světa v ledním hokeji",,15000,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,,
ab6877d9-2b7d-4931-b725-66058081fdff,Tipsport Arena,Velká Hala,TIP,,,,1.1.1962,Active,"Za elektrárnou 419/1, 170 00 Praha-Bubeneč",,"Legendární hokejový stánek, Dějiště Mistrovství světa v ledním hokeji",,15000,CCM Liga,ce84bfe3-41fd-46de-aad4-409b769b0b2a,,
a1486f71-9420-4307-8105-dcd27292adf3,Zimní stadion Ledeč nad Sázavou,ZS Ledeč,LED,,,,1.1.1970,Active,Nádražní č.p. 1292,http://www.hcledec.cz/,"Moderní útulný stadion na břehu řeky Sázavy, prostorné šatny, kapacita 500 diváků",,500,WND Cup Ledeč nad Sázavou,fb18fbb5-2a6f-4328-8ef0-dfc2f4e08ad4,,
a1486f71-9420-4307-8105-dcd27292adf3,Zimní stadion Ledeč nad Sázavou,ZS Ledeč,LED,,,,1.1.1970,Active,Nádražní č.p. 1292,http://www.hcledec.cz/,"Moderní útulný stadion na břehu řeky Sázavy, prostorné šatny, kapacita 500 diváků",,500,Memorial Tomáše Smutka,b4348584-a378-48b7-afdc-feca879c3371,,
