awardId,awardName,awardNick,awardShort,awardDescription,awardType,awardFoundDate,awardMedia,competitionName,competitionId,sponsorName,sponsorId,phaseName,phaseId,groupName,groupId
6c208e63-4cd7-49cc-afc4-16510f53b2a3,PHM Cup,PHM Cup,PHM,"Pohár pro vítěze PHM Cupu, Putovní, Ručně vyrobená originální trofej",Team,15.1.2018,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,Play Off,077300f5-a668-4d59-aa4b-6088bacb48dc,Top Divize,b7b4f7e3-9e44-42c0-bdf8-71cfd5592373
f2dd8f23-43c4-4fb6-a92b-81918fceca85,Bauer Hvězda zápasu,Hvězda zápasu,Star,Nejlepší hráč svého týmu v zápase PHM Cupu,Individual,2016,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Bauer Hockey Czech,18d7a954-153e-442b-a90a-45128ca6251c,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Top Divize,b7b4f7e3-9e44-42c0-bdf8-71cfd5592373
b5b19de5-db0a-4bab-8580-78028619f0fc,WND Cup,WND Cup,WND Cup,Pohár pro vítěze turnaje v Ledči nad Sázavou Memoriál Tomáše Smutka,Team,2016,,Memorial Tomáše Smutka,b4348584-a378-48b7-afdc-feca879c3371,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,Play Off,077300f5-a668-4d59-aa4b-6088bacb48dc,Skupina A,ceb3d5d8-c901-453c-bf46-535b83c9e831
b0d766ae-2dc1-4d48-a24c-1ee5d678dd11,Královská trofej,Královská trofej,Kings,Pohár pro vítěze základní části své skupiny v PHM Cupu,Team,2016,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Bauer Hockey Czech,18d7a954-153e-442b-a90a-45128ca6251c,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Top Divize,b7b4f7e3-9e44-42c0-bdf8-71cfd5592373
23be754e-80bf-471a-b0b6-719f06d7ab86,Nejoddanější hráč soutěže,Nejoddanější hráč soutěže,Oddanost,,Individual,2016,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Top Divize,b7b4f7e3-9e44-42c0-bdf8-71cfd5592373
5ce903cf-7518-4dee-aed0-cea822bb23ba,Nejlepší obránce,Nejlepší obránce,Obránce,,Individual,2016,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Top Divize,b7b4f7e3-9e44-42c0-bdf8-71cfd5592373
b4672d45-0764-42d6-8197-b979bf2160f2,Zlatá medaile,Zlato,Gold,Vítěz soutěže,Team & Individual,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,Play Off,077300f5-a668-4d59-aa4b-6088bacb48dc,Hobby Divize,b172426f-aa89-4d0a-a17a-5861a97311ac
5c40081b-c0a7-4949-88df-42fc6a931ca6,Stříbrná medaile,Stříbro,Silver,Druhé místo v soutěži,Team & Individual,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,Play Off,077300f5-a668-4d59-aa4b-6088bacb48dc,Hobby Divize,b172426f-aa89-4d0a-a17a-5861a97311ac
d4f57fab-dad1-4bea-a941-b07777774478,Brnozová medaile,Bronz,Bronze,Třetí místo v soutěži,Team & Individual,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,Play Off,077300f5-a668-4d59-aa4b-6088bacb48dc,Hobby Divize,b172426f-aa89-4d0a-a17a-5861a97311ac
094abaa4-01a3-4e14-ace5-c373218176ad,Nejlepší brankář,Brankář roku,Brankář,,Individual,,,PHM Cup,c7c0bb15-5d29-415d-851e-5d777c6cc621,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,Play Off,077300f5-a668-4d59-aa4b-6088bacb48dc,Hobby Divize,b172426f-aa89-4d0a-a17a-5861a97311ac
